ID,Caso,Módulo,Prioridad,Tipo,Precondiciones,Pasos,Resultado Esperado,Estado,Observaciones
TC-COMPRA-001,Compra con envío estándar,Compra y Checkout,Alta,Funcional E2E,Usuario navegando en el sitio. Al menos un producto disponible con stock > 0. Mercado Pago configurado correctamente.,1. Navegar al catálogo. 2. Seleccionar producto. 3. Agregar al carrito. 4. Ir al carrito. 5. Calcular envío. 6. Seleccionar envío estándar. 7. Iniciar checkout. 8. Redirección a Mercado Pago. 9. Completar pago en Mercado Pago. 10. Verificar confirmación.,Compra completada exitosamente. Carrito vaciado automáticamente. Orden registrada en base de datos. Stock actualizado correctamente.,Pendiente,El sistema redirige directamente a Mercado Pago sin página intermedia de datos del comprador.
TC-COMPRA-002,Compra con retiro en local,Compra y Checkout,Media,Funcional E2E,IMPORTANTE: Esta funcionalidad NO ESTÁ IMPLEMENTADA en el código actual.,1. Agregar producto al carrito. 2. Ir a /carrito. 3. En sección de envío seleccionar opción Retiro en local. 4. Verificar que el costo de envío es $0.,Opción de retiro en local disponible. Costo de envío = $0 o costo configurado. Mensaje de confirmación indica retiro en local.,Pendiente - Requiere desarrollo,FUNCIONALIDAD NO IMPLEMENTADA. Recomendación: Implementar opción de retiro en local en ShippingCalculator.
TC-COMPRA-003,Compra rechazada,Compra y Checkout,Alta,Funcional E2E / Manejo de Errores,Usuario con productos en carrito. Mercado Pago configurado. Acceso a simular rechazo de pago.,1. Preparar compra. 2. Iniciar checkout. 3. Simular rechazo de pago. 4. Verificar redirección a fallo. 5. Verificar página de fallo. 6. Verificar persistencia de carrito. 7. Verificar que no se creó orden pagada.,Redirección a /pago/failure con mensaje claro. Carrito NO se vacía automáticamente. Orden NO queda marcada como pagada.,Pendiente,El carrito se limpia solo en /pago/success no en /pago/failure.
TC-COMPRA-004,Compra con múltiples productos,Compra y Checkout,Alta,Funcional E2E,Múltiples productos disponibles con stock. Usuario navegando en el sitio.,1. Agregar primer producto al carrito. 2. Agregar segundo producto al carrito. 3. Agregar unidad adicional del primer producto. 4. Ir a /carrito. 5. Verificar que aparecen ambos productos.,Carrito muestra múltiples productos correctamente. Subtotal calculado correctamente. Todos los productos incluidos en preferencia de Mercado Pago.,Pendiente,
TC-COMPRA-005,Compra con producto en descuento,Compra y Checkout,Media,Funcional,Producto con descuento configurado (campo descuento > 0).,1. Navegar a producto con descuento. 2. Verificar que se muestra precio original tachado y precio con descuento. 3. Agregar al carrito. 4. Verificar que se muestra precio con descuento aplicado.,Descuento aplicado correctamente en todo el flujo. Precio final refleja descuento.,Pendiente,
TC-COMPRA-006,Cambio de tipo de envío durante checkout,Compra y Checkout,Media,Funcional / UX,Productos en carrito. Múltiples métodos de envío disponibles.,1. Agregar producto al carrito. 2. Ir a /carrito. 3. Calcular envío. 4. Seleccionar primer método. 5. Seleccionar segundo método. 6. Verificar que el total se actualiza.,Cambio de método de envío funciona correctamente. Total se actualiza dinámicamente.,Pendiente,
TC-STOCK-001,Producto sin stock,Stock y Disponibilidad,Alta,Funcional / Validación,Producto con stock = 0 en todos los talles. O producto con campo activo = false.,1. Navegar a /catalogo. 2. Verificar que el producto NO aparece en el listado. 3. Intentar acceder directamente a /producto/[id-producto-sin-stock].,Productos sin stock no aparecen en catálogo público. Acceso directo muestra mensaje adecuado o redirección.,Pendiente,El sistema filtra productos activos en la API: filters.activo = activo !== false.
TC-STOCK-002,Stock insuficiente para cantidad solicitada,Stock y Disponibilidad,Alta,Validación,Producto con stock limitado (ej: stock = 2). Usuario intentando agregar más unidades de las disponibles.,1. Ir a producto con stock = 2. 2. Intentar agregar 3 unidades al carrito. 3. Verificar que se muestra mensaje de error.,Validación de stock en múltiples puntos. Mensajes de error claros. No permite agregar más unidades de las disponibles.,Pendiente,
TC-STOCK-003,Producto desactivado,Stock y Disponibilidad,Media,Validación,Producto con campo activo = false en base de datos.,1. Navegar a /catalogo. 2. Verificar que el producto NO aparece en listado. 3. Intentar acceder a /producto/[id-producto-desactivado].,Producto desactivado invisible para usuarios públicos. Acceso directo bloqueado o redirigido.,Pendiente,
TC-ADMIN-001,Borrar producto,Administración,Alta,Funcional,Usuario autenticado como administrador. Acceso a /admin/productos. Producto existente para eliminar.,1. Iniciar sesión como administrador. 2. Ir a /admin/productos. 3. Buscar producto de prueba. 4. Hacer clic en botón Eliminar. 5. Confirmar eliminación.,Eliminación funciona correctamente. Producto desaparece de catálogo público. No se rompen listados ni navegación.,Pendiente,Verificar si el sistema usa soft delete o hard delete. Considerar impacto en carritos activos de usuarios.
